Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
75,3.74,0.95,-0.93,0.72,5.44,1.75,129.06,18.3,False,False,4,0,-1,2025-06-15 14:22:12
76,3.74,0.95,-0.93,0.72,5.44,1.75,158.32,23.91,False,False,3,0,-1,2025-06-15 14:22:25
77,3.74,0.95,-0.93,0.72,5.44,1.75,259.42,27.88,False,False,5,0,-1,2025-06-15 14:22:36
78,3.74,0.95,-0.93,0.72,5.44,1.75,149.1,19.07,False,False,4,0,-1,2025-06-15 14:22:48
79,3.74,0.95,-0.93,0.72,5.44,1.75,112.96,22.94,False,False,4,0,-1,2025-06-15 14:22:59
80,3.74,0.95,-0.93,0.72,5.44,1.75,168.04,22.63,False,False,4,0,-1,2025-06-15 14:23:11
81,3.74,0.95,-0.93,0.72,5.44,1.75,135.25,14.91,False,False,4,0,-1,2025-06-15 14:23:22
82,3.74,0.95,-0.93,0.72,5.44,1.75,309.14,20.81,True,False,4,0,8,2025-06-15 14:23:33
83,3.74,0.95,-0.93,0.72,5.44,1.75,155.37,25.65,False,False,5,0,-1,2025-06-15 14:23:45
84,3.74,0.95,-0.93,0.72,5.44,1.75,245.14,20.38,False,False,4,0,-1,2025-06-15 14:23:56
85,3.74,0.95,-0.93,0.72,5.44,1.75,227.95,22.62,False,False,4,0,-1,2025-06-15 14:24:07
86,3.74,0.95,-0.93,0.72,5.44,1.75,231.79,22.4,False,False,5,0,-1,2025-06-15 14:24:19
87,3.74,0.95,-0.93,0.72,5.44,1.75,339.57,25.15,False,False,4,0,-1,2025-06-15 14:24:31
88,3.74,0.95,-0.93,0.72,5.44,1.75,99.83,30,False,False,5,0,-1,2025-06-15 14:24:42
89,3.74,0.95,-0.93,0.72,5.44,1.75,247.06,15.51,False,False,3,0,-1,2025-06-15 14:24:53
90,3.74,0.95,-0.93,0.72,5.44,1.75,103.94,19.48,False,False,4,0,-1,2025-06-15 14:25:05
91,3.74,0.95,-0.93,0.72,5.44,1.75,143.01,27.01,False,False,5,0,-1,2025-06-15 14:25:17
